id,year,party,candidate,votecount,votepercent,elected,incumbent,leanvsprovince,leanvsfederal
10001,2021,LPC,Ken McDonald,18608,50.1,yes,yes,2.265054425,17.47965403
10001,2021,CPC,Matthew Chapman,12738,34.3,no,no,1.818218029,0.559668833
10001,2021,NDP,Carolyn Davis,5151,13.9,no,no,-3.419976505,-3.924965864
10001,2021,PPC,Lainie Stewart,647,1.7,no,no,-0.663295949,-3.23707293
10002,2021,LPC,Churence Rogers,13972,46.6,yes,yes,-1.234945575,13.97965403
10002,2021,CPC,Sharon Vokey,12278,40.9,no,no,8.418218029,7.159668833
10002,2021,NDP,Anne Marie Anonsen,2484,8.3,no,no,-9.019976505,-9.524965864
10002,2021,PPC,Linda Hogan,1257,4.2,no,no,1.836704051,-0.73707293
10003,2021,CPC,Clifford Small,14927,46.9,yes,no,14.41821803,13.15966883
10003,2021,LPC,Scott Simms,14646,46,no,yes,-1.834945575,13.37965403
10003,2021,NDP,Jamie Ruby,2261,7.1,no,no,-10.2199765,-10.72496586
10004,2021,LPC,Yvonne Jones,4119,42.7,yes,yes,-5.134945575,10.07965403
10004,2021,CPC,Shane Dumaresque,2930,30.4,no,no,-2.081781971,-3.340331167
10004,2021,NDP,Amy Norman,2297,23.8,no,no,6.480023495,5.975034136
10004,2021,PPC,Shannon Champion,307,3.2,no,no,0.836704051,-1.73707293
10005,2021,LPC,Gudie Hutchings,16178,44.4,yes,yes,-3.434945575,11.77965403
10005,2021,CPC,Carol Anstey,14344,39.4,no,no,6.918218029,5.659668833
10005,2021,NDP,Kaila Mintz,4347,11.9,no,no,-5.419976505,-5.924965864
10005,2021,PPC,Darrell Shelley,1578,4.3,no,no,1.936704051,-0.63707293
10006,2021,LPC,Joanne Thompson,17239,45.2,yes,no,-2.634945575,12.57965403
10006,2021,NDP,Mary Shortall,13090,34.3,no,no,16.9800235,16.47503414
10006,2021,CPC,Glenn Etchegary,7119,18.7,no,no,-13.78178197,-15.04033117
10006,2021,PPC,Dana Metcalfe,723,1.9,no,no,-0.463295949,-3.03707293
10007,2021,LPC,Seamus O'Regan,19478,56.2,yes,yes,8.365054425,23.57965403
10007,2021,NDP,Ray Critch,8113,23.4,no,no,6.080023495,5.575034136
10007,2021,CPC,Steve Hodder,6447,18.6,no,no,-13.88178197,-15.14033117
10007,2021,PPC,Georgia Faith Stewart,638,1.8,no,no,-0.563295949,-3.13707293
11001,2021,LPC,Lawrence MacAulay,11175,50.6,yes,yes,4.370926571,17.97965403
11001,2021,CPC,Wayne Phelan,6817,30.9,no,no,-0.679882077,-2.840331167
11001,2021,NDP,Lynne Thiele,2168,9.8,no,no,0.562709858,-8.024965864
11001,2021,GPC,Michael MacLean,1064,4.8,no,no,-4.728545381,2.469470842
11001,2021,PPC,Kevin Hardy,725,3.3,no,no,0.046465866,-1.63707293
11002,2021,LPC,Sean Casey,8919,46.7,yes,yes,0.470926571,14.07965403
11002,2021,CPC,Doug Currie,5932,31.1,no,no,-0.479882077,-2.640331167
11002,2021,NDP,Margaret Andrade,2048,10.7,no,no,1.462709858,-7.124965864
11002,2021,GPC,Darcie Lanthier,1832,9.6,no,no,0.071454619,7.269470842
11002,2021,PPC,Scott McPhee,369,1.9,no,no,-1.353534134,-3.03707293
11003,2021,LPC,Bobby Morrissey,9040,46.2,yes,yes,-0.029073429,13.57965403
11003,2021,CPC,Barry Balsom,6088,31.1,no,no,-0.479882077,-2.640331167
11003,2021,GPC,Alex Clark,1771,9.1,no,no,-0.428545381,6.769470842
11003,2021,NDP,Lisa Bradshaw,1688,8.6,no,no,-0.637290142,-9.224965864
11003,2021,PPC,Wayne Biggar,974,5,no,no,1.746465866,0.06292707
11004,2021,LPC,Heath MacDonald,9912,41.8,yes,no,-4.429073429,9.17965403
11004,2021,CPC,Jody Sanderson,7836,33.1,no,no,1.520117923,-0.640331167
11004,2021,GPC,Anna Keenan,3381,14.3,no,no,4.771454619,11.96947084
11004,2021,NDP,Michelle Neill,1898,8,no,no,-1.237290142,-9.824965864
11004,2021,PPC,Christopher Landry,680,2.9,no,no,-0.353534134,-2.03707293
12001,2021,LPC,Mike Kelloway,18288,46.5,yes,yes,4.112183912,13.87965403
12001,2021,CPC,Fiona MacLeod,13805,35.1,no,no,5.582116231,1.359668833
12001,2021,NDP,Jana Reddick,5618,14.3,no,no,-7.75572839,-3.524965864
12001,2021,PPC,Brad Grandy,1649,4.2,no,no,0.239124005,-0.73707293
12002,2021,LPC,Sean Fraser,18682,46.2,yes,yes,3.812183912,13.57965403
12002,2021,CPC,Steven Cotter,13060,32.3,no,no,2.782116231,-1.440331167
12002,2021,NDP,Betsy MacDonald,6225,15.4,no,no,-6.65572839,-2.424965864
12002,2021,PPC,Al Muir,1445,3.6,no,no,-0.360875995,-1.33707293
12002,2021,GPC,Katerina Nikas,494,1.2,no,no,-0.620796184,-1.130529158
12003,2021,CPC,Stephen Ellis,18601,46,yes,no,16.48211623,12.25966883
12003,2021,LPC,Lenore Zann,13822,34.2,no,yes,-8.187816088,1.57965403
12003,2021,NDP,Daniel Osborne,4984,12.3,no,no,-9.75572839,-5.524965864
12003,2021,PPC,Bill Archer,1687,4.2,no,no,0.239124005,-0.73707293
12003,2021,GPC,Jillian Foster,1045,2.6,no,no,0.779203816,0.269470842
12004,2021,LPC,Darren Fisher,24209,53.1,yes,yes,10.71218391,20.47965403
12004,2021,NDP,Kevin Payne,15267,33.5,no,no,11.44427161,15.67503414
12004,2021,PPC,Michelle Lindsay,4781,10.5,no,no,6.539124005,5.56292707
12004,2021,GPC,Rana Zaman,1371,3,no,no,1.179203816,0.669470842
12005,2021,LPC,Andy Fillmore,21905,42.7,yes,yes,0.312183912,10.07965403
12005,2021,NDP,Lisa Roberts,20347,39.7,no,no,17.64427161,21.87503414
12005,2021,CPC,Cameron Ells,6601,12.9,no,no,-16.61788377,-20.84033117
12005,2021,GPC,Jo-Ann Roberts,1128,2.2,no,no,0.379203816,-0.130529158
12005,2021,PPC,B. Alexander Hébert,1069,2.1,no,no,-1.860875995,-2.83707293
12006,2021,LPC,Lena Metlege Diab,24744,48.5,yes,no,6.112183912,15.87965403
12006,2021,NDP,Jonathan Keith Roberts,12331,24.2,no,no,2.14427161,6.375034136
12006,2021,CPC,Eleanor Humphries,11243,22,no,no,-7.517883769,-11.74033117
12006,2021,PPC,Julie Scott,1447,2.8,no,no,-1.160875995,-2.13707293
12006,2021,GPC,Richard Zurawski,1181,2.3,no,no,0.479203816,-0.030529158
